battery,temp,speed,voltage,current,soh,range
44,37,110,49.0,11.82,94.4,55.0
66,46,49,48.13,17.55,96.6,117.3
53,40,38,41.15,14.5,95.3,94.6
23,48,100,49.12,18.85,92.3,16.0
56,32,57,45.62,24.74,95.6,94.9
100,41,118,42.36,24.25,100.0,164.6
71,49,87,46.46,21.43,97.1,115.9
72,28,103,46.05,17.02,97.2,113.1
73,33,120,44.61,6.9,97.3,110.0
22,26,97,47.96,11.41,92.2,14.9
34,48,113,47.46,26.68,93.4,34.1
34,33,108,49.72,11.2,93.4,35.6
26,35,106,49.81,6.93,92.6,20.2
29,37,40,49.34,28.05,92.9,46.0
97,48,61,43.83,6.84,99.7,175.7
98,35,107,47.12,10.92,99.8,163.9
59,46,31,48.29,15.25,95.9,108.7
63,34,42,43.14,15.1,96.3,113.4
33,47,115,40.7,7.69,93.3,31.5
78,25,75,48.15,28.85,97.8,133.5
88,40,71,43.47,23.14,98.8,154.7
54,31,111,42.32,22.48,95.4,74.7
49,32,70,40.66,24.81,94.9,77.0
58,45,38,44.99,5.74,95.8,104.6
44,42,78,45.49,27.04,94.4,64.6
43,37,112,49.38,5.36,94.3,52.4
75,38,63,43.09,10.2,97.5,131.1
55,34,55,48.7,26.14,95.5,93.5
70,44,75,49.04,16.49,97.0,117.5
60,36,54,48.71,14.21,96.0,103.8
37,42,24,49.83,26.04,93.7,66.8
96,25,119,43.54,20.17,99.6,156.3
70,38,31,40.54,17.36,97.0,130.7
76,35,58,48.81,8.44,97.6,134.6
41,29,22,45.08,22.58,94.1,75.4
87,40,47,43.34,16.46,98.7,159.9
58,50,43,40.37,10.94,95.8,103.1
78,25,61,46.14,11.5,97.8,137.7
61,49,59,46.64,13.42,96.1,104.3
39,27,64,45.37,16.65,93.9,58.8
98,41,82,43.31,29.13,99.8,171.4
26,36,115,42.43,27.77,92.6,17.5
46,49,97,45.14,9.24,94.6,62.9
86,30,90,47.88,18.59,98.6,145.0
24,42,44,45.6,5.22,92.4,34.8
94,36,66,41.09,24.7,99.4,168.2
97,27,49,47.07,5.07,99.7,179.3
79,45,104,43.78,9.57,97.9,126.8
95,39,53,44.28,10.08,99.5,174.1
97,35,52,43.05,13.3,99.7,178.4
53,47,63,40.26,20.21,95.3,87.1
51,30,57,41.74,25.25,95.1,84.9
55,50,80,47.59,24.45,95.5,86.0
63,33,28,42.12,19.43,96.3,117.6
51,44,81,44.37,25.18,95.1,77.7
88,43,84,49.55,6.43,98.8,150.8
51,26,81,42.88,23.36,95.1,77.7
84,43,43,43.0,26.02,98.4,155.1
48,28,70,45.8,26.77,94.8,75.0
59,43,62,42.52,20.1,95.9,99.4
47,40,50,42.89,29.17,94.7,79.0
65,32,108,41.83,14.64,96.5,97.6
36,40,38,48.67,13.58,93.6,60.6
34,34,114,47.93,27.16,93.4,33.8
75,33,86,48.14,6.31,97.5,124.2
42,26,34,48.34,11.59,94.2,73.8
91,38,100,42.31,12.52,99.1,152.0
54,40,70,42.78,8.72,95.4,87.0
41,36,113,46.44,13.51,94.1,48.1
92,31,33,48.66,26.86,99.2,174.1
67,41,45,43.42,14.87,96.7,120.5
69,26,57,43.46,28.19,96.9,120.9
54,27,87,44.89,7.62,95.4,81.9
20,25,109,48.5,8.97,92.0,7.3
42,44,73,46.91,17.0,94.2,62.1
33,39,63,47.91,8.16,93.3,47.1
27,28,55,41.97,13.28,92.7,37.5
49,28,61,48.46,27.75,94.9,79.7
61,38,68,44.27,18.43,96.1,101.6
43,48,115,41.64,5.77,94.3,51.5
59,40,63,48.29,7.04,95.9,99.1
25,41,54,46.74,6.36,92.5,33.8
43,33,75,47.47,14.1,94.3,63.5
98,26,110,47.83,26.57,99.8,163.0
54,46,30,46.21,17.67,95.4,99.0
85,28,50,49.4,20.78,98.5,155.0
77,47,72,41.79,5.45,97.7,132.4
84,32,75,47.01,7.42,98.4,145.5
74,37,42,43.08,27.86,97.4,135.4
28,35,70,47.14,15.63,92.8,35.0
41,50,116,47.91,26.75,94.1,47.2
39,31,58,45.79,26.59,93.9,60.6
40,27,97,49.8,17.76,94.0,50.9
84,25,54,49.64,28.57,98.4,151.8
21,48,85,45.38,21.61,92.1,16.5
34,49,75,46.67,17.75,93.4,45.5
60,27,90,49.92,12.73,96.0,93.0
65,27,28,45.53,6.63,96.5,121.6
62,29,118,44.15,8.57,96.2,88.6
32,44,97,49.79,14.0,93.2,34.9
62,33,20,49.73,10.52,96.2,118.0
35,50,101,49.11,17.22,93.5,39.7
46,26,117,48.11,20.52,94.6,56.9
41,36,20,49.85,10.13,94.1,76.0
78,40,41,49.81,24.67,97.8,143.7
53,48,47,42.92,26.49,95.3,91.9
83,47,116,45.22,6.38,98.3,131.2
39,40,21,45.69,28.76,93.9,71.7
40,39,30,49.71,10.09,94.0,71.0
35,38,92,40.63,13.54,93.5,42.4
61,32,117,41.27,21.53,96.1,86.9
48,48,81,47.13,11.6,94.8,71.7
86,38,32,47.74,15.79,98.6,162.4
26,27,110,45.82,22.59,92.6,19.0
37,26,88,48.71,11.96,93.7,47.6
99,48,116,43.15,5.02,99.9,163.2
37,43,40,48.83,27.78,93.7,62.0
69,48,113,47.1,27.12,96.9,104.1
89,42,103,48.38,9.31,98.9,147.1
54,39,48,41.29,21.35,95.4,93.6
42,47,63,45.96,24.03,94.2,65.1
47,48,108,49.19,17.83,94.7,61.6
50,27,83,41.0,25.59,95.0,75.1
75,35,94,43.57,29.9,97.5,121.8
89,31,72,49.6,17.19,98.9,156.4
23,32,25,41.93,22.25,92.3,38.5
85,47,22,48.32,7.93,98.5,163.4
77,45,101,43.0,24.63,97.7,123.7
30,31,102,46.21,13.22,93.0,29.4
85,42,75,42.61,13.28,98.5,147.5
74,44,85,48.35,25.99,97.4,122.5
76,44,26,40.08,6.03,97.6,144.2
90,33,36,44.67,12.37,99.0,169.2
75,33,29,45.64,26.13,97.5,141.3
50,47,66,44.05,26.45,95.0,80.2
88,38,46,43.79,19.46,98.8,162.2
38,26,94,43.83,28.96,93.8,47.8
26,36,113,43.9,8.2,92.6,18.1
74,37,84,40.83,29.4,97.4,122.8
22,42,23,41.93,28.75,92.2,37.1
67,42,91,43.87,19.2,96.7,106.7
59,30,120,42.52,8.73,95.9,82.0
49,32,90,45.23,11.01,94.9,71.0
36,46,37,43.68,22.73,93.6,60.9
32,42,46,44.78,23.69,93.2,50.2
70,45,49,40.02,24.21,97.0,125.3
87,31,65,42.02,28.17,98.7,154.5
67,25,89,49.68,12.24,96.7,107.3
82,28,90,48.54,22.27,98.2,137.0
70,28,114,42.6,22.21,97.0,105.8
68,40,86,41.38,11.17,96.8,110.2
24,33,20,49.67,20.12,92.4,42.0
58,28,120,40.49,16.69,95.8,80.0
99,27,108,46.72,29.18,99.9,165.6
93,30,108,43.27,9.15,99.3,153.6
86,36,80,43.82,14.91,98.6,148.0
27,38,95,45.38,13.92,92.7,25.5
58,25,109,46.46,28.29,95.8,83.3
99,27,94,41.15,27.68,99.9,169.8
90,28,105,42.87,22.46,99.0,148.5
84,43,40,42.94,19.06,98.4,156.0
46,37,47,42.6,9.3,94.6,77.9
94,34,84,49.61,17.12,99.4,162.8
65,26,119,44.46,5.26,96.5,94.3
72,45,20,46.33,25.55,97.2,138.0
99,50,51,45.22,23.94,99.9,182.7
20,48,82,47.51,17.52,92.0,15.4
64,47,90,46.87,8.1,96.4,101.0
86,46,71,41.99,22.23,98.6,150.7
89,44,99,47.72,18.81,98.9,148.3
52,47,94,46.13,24.67,95.2,75.8
78,32,25,48.92,28.73,97.8,148.5
32,34,77,45.22,21.03,93.2,40.9
83,42,113,48.2,29.28,98.3,132.1
100,29,20,47.99,23.69,100.0,194.0
87,26,54,40.73,11.37,98.7,157.8
68,34,83,43.65,21.26,96.8,111.1
86,49,109,43.9,14.11,98.6,139.3
31,30,90,49.52,25.9,93.1,35.0
20,31,105,46.34,14.36,92.0,8.5
37,40,35,43.59,16.66,93.7,63.5
52,43,100,41.06,28.72,95.2,74.0
39,45,27,46.38,10.59,93.9,69.9
79,44,77,42.24,6.45,97.9,134.9
81,37,67,45.3,10.72,98.1,141.9
28,46,98,49.41,28.44,92.8,26.6
51,37,47,41.66,14.11,95.1,87.9
48,44,29,44.18,29.88,94.8,87.3
84,44,48,41.37,23.71,98.4,153.6
23,45,27,42.25,20.26,92.3,37.9
50,44,99,41.26,9.85,95.0,70.3
30,37,51,47.05,23.14,93.0,44.7
99,40,48,48.22,16.5,99.9,183.6
53,27,44,46.91,13.59,95.3,92.8
32,33,66,44.2,11.86,93.2,44.2
22,46,82,46.28,25.58,92.2,19.4
90,38,44,44.46,19.34,99.0,166.8
57,43,52,40.65,6.09,95.7,98.4
56,38,38,47.99,12.79,95.6,100.6
82,37,25,43.2,28.93,98.2,156.5
95,44,70,49.17,12.9,99.5,169.0
60,30,104,46.66,20.68,96.0,88.8
32,28,54,49.17,11.73,93.2,47.8
48,36,47,49.23,16.91,94.8,81.9
68,25,104,49.85,16.99,96.8,104.8
69,47,49,41.13,25.77,96.9,123.3
82,38,99,42.88,9.05,98.2,134.3
48,44,101,42.74,27.96,94.8,65.7
29,39,98,44.9,28.74,92.9,28.6
78,47,67,47.17,9.31,97.8,135.9
62,49,34,44.91,14.67,96.2,113.8
74,29,99,49.3,12.4,97.4,118.3
35,50,116,42.18,8.93,93.5,35.2
60,43,106,40.94,12.03,96.0,88.2
32,48,31,46.77,18.76,93.2,54.7
61,43,43,46.32,8.85,96.1,109.1
72,35,65,49.8,28.99,97.2,124.5
44,34,94,41.0,5.0,94.4,59.8
92,31,86,48.15,10.54,99.2,158.2
99,35,73,48.88,20.01,99.9,176.1
61,44,118,47.07,26.98,96.1,86.6
98,45,63,47.36,21.55,99.8,177.1
42,46,60,49.34,26.32,94.2,66.0
28,28,86,40.82,25.94,92.8,30.2
79,41,26,47.13,20.42,97.9,150.2
75,36,44,40.55,9.97,97.5,136.8
88,45,27,48.57,24.65,98.8,167.9
54,34,74,40.15,7.25,95.4,85.8
95,35,54,47.87,20.99,99.5,173.8
52,48,49,41.19,17.16,95.2,89.3
36,48,109,40.45,15.75,93.6,39.3
22,32,115,44.4,22.79,92.2,9.5
89,29,75,40.88,21.32,98.9,155.5
100,44,69,42.1,9.85,100.0,179.3
92,46,75,43.73,25.94,99.2,161.5
69,27,101,48.25,13.85,96.9,107.7
47,27,90,46.58,6.7,94.7,67.0
93,45,49,42.55,6.32,99.3,171.3
43,45,90,48.13,22.65,94.3,59.0
26,43,59,45.48,7.25,92.6,34.3
75,29,21,42.62,21.43,97.5,143.7
69,31,73,40.26,18.28,96.9,116.1
54,39,39,47.59,27.44,95.4,96.3
92,38,58,43.88,21.41,99.2,166.6
100,47,114,44.62,8.56,100.0,165.8
96,39,88,44.84,6.11,99.6,165.6
86,41,80,49.9,5.64,98.6,148.0
99,39,112,47.82,12.46,99.9,164.4
69,50,39,47.48,5.86,96.9,126.3
53,34,38,49.59,27.89,95.3,94.6
83,25,76,48.0,27.09,98.3,143.2
48,28,44,42.57,22.81,94.8,82.8
39,40,108,44.29,29.73,93.9,45.6
27,39,58,44.3,8.55,92.7,36.6
28,41,77,49.66,14.17,92.8,32.9
62,47,84,44.49,26.59,96.2,98.8
73,42,94,45.98,26.07,97.3,117.8
42,29,54,48.47,18.54,94.2,67.8
95,36,91,49.39,25.3,99.5,162.7
71,27,37,47.28,7.17,97.1,130.9
52,28,111,41.9,13.0,95.2,70.7
55,33,98,43.38,8.9,95.5,80.6
45,36,114,49.95,20.75,94.5,55.8
81,28,113,42.67,27.62,98.1,128.1
26,37,94,40.47,16.61,92.6,23.8
93,43,89,46.21,11.75,99.3,159.3
39,25,63,45.78,16.07,93.9,59.1
52,31,31,46.01,25.83,95.2,94.7
49,34,38,48.88,7.7,94.9,86.6
61,35,111,41.55,12.75,96.1,88.7
56,42,108,49.0,17.35,95.6,79.6
61,28,58,45.91,9.84,96.1,104.6
28,28,29,48.29,7.66,92.8,47.3
60,27,33,40.18,10.63,96.0,110.1
55,38,96,47.47,10.59,95.5,81.2
57,48,54,48.44,15.91,95.7,97.8
28,29,63,45.62,16.4,92.8,37.1
71,25,81,43.97,7.86,97.1,117.7
41,45,96,45.15,16.8,94.1,53.2
74,40,89,40.21,27.07,97.4,121.3
60,40,89,44.25,24.63,96.0,93.3
90,34,46,43.25,23.58,99.0,166.2
66,33,62,47.81,21.91,96.6,113.4
89,33,81,49.01,22.63,98.9,153.7
92,27,105,48.38,24.14,99.2,152.5
91,32,118,40.96,5.03,99.1,146.6
61,27,88,42.19,27.06,96.1,95.6
77,25,97,49.98,20.29,97.7,124.9
22,35,31,46.28,19.49,92.2,34.7
99,43,43,47.04,11.88,99.9,185.1
31,40,60,49.24,22.39,93.1,44.0
28,45,102,44.9,10.66,92.8,25.4
95,30,68,46.14,20.54,99.5,169.6
33,29,45,45.0,15.41,93.3,52.5
73,32,43,42.22,5.53,97.3,133.1
26,50,30,44.03,5.0,92.6,43.0
68,43,107,43.84,12.91,96.8,103.9
30,43,89,49.94,24.23,93.0,33.3
68,33,86,44.26,20.41,96.8,110.2
58,38,93,46.93,27.26,95.8,88.1
65,31,36,41.45,18.41,96.5,119.2
90,40,20,47.59,23.11,99.0,174.0
75,31,69,49.2,14.67,97.5,129.3
48,48,100,44.47,25.56,94.8,66.0
58,43,36,44.84,5.85,95.8,105.2
27,40,59,46.7,21.6,92.7,36.3
57,27,51,40.1,8.38,95.7,98.7
31,35,89,41.48,29.75,93.1,35.3
63,41,37,49.69,23.7,96.3,114.9
91,46,101,40.04,6.12,99.1,151.7
90,30,69,43.43,9.41,99.0,159.3
94,49,97,48.28,17.83,99.4,158.9
60,39,76,42.88,6.37,96.0,97.2
20,26,28,45.8,29.11,92.0,31.6
51,50,20,44.32,5.82,95.1,96.0
35,45,54,40.65,17.46,93.5,53.8
45,50,110,42.14,9.02,94.5,57.0
29,41,29,45.52,16.13,92.9,49.3
69,37,118,44.49,18.08,96.9,102.6
32,31,42,41.36,6.98,93.2,51.4
53,33,104,40.79,9.61,95.3,74.8
50,28,60,44.15,21.94,95.0,82.0
40,44,46,48.18,9.1,94.0,66.2
84,28,109,41.01,24.28,98.4,135.3
99,33,68,44.17,12.85,99.9,177.6
73,42,44,45.51,10.78,97.3,132.8
34,45,23,46.39,15.43,93.4,61.1
40,36,105,40.8,9.18,94.0,48.5
81,47,111,41.03,19.65,98.1,128.7
58,36,38,49.08,21.98,95.8,104.6
64,41,79,45.46,7.91,96.4,104.3
86,25,79,45.72,22.46,98.6,148.3
92,40,85,48.01,24.58,99.2,158.5
62,48,96,45.69,26.55,96.2,95.2
33,27,81,40.79,21.32,93.3,41.7
43,32,34,47.27,25.0,94.3,75.8
50,46,36,48.52,28.63,95.0,89.2
44,47,33,43.63,8.21,94.4,78.1
27,33,34,47.19,12.23,92.7,43.8
69,49,58,46.39,24.69,96.9,120.6
37,48,76,40.72,24.67,93.7,51.2
64,32,47,48.75,10.31,96.4,113.9
81,39,87,45.82,5.88,98.1,135.9
55,26,21,44.85,5.88,95.5,103.7
47,38,79,41.08,8.67,94.7,70.3
61,47,20,49.94,20.72,96.1,116.0
78,28,84,46.32,15.87,97.8,130.8
52,30,38,40.82,10.11,95.2,92.6
86,36,88,41.11,15.9,98.6,145.6
22,37,113,48.87,5.81,92.2,10.1
34,43,100,47.25,8.41,93.4,38.0
42,26,106,46.83,11.22,94.2,52.2
56,46,72,43.26,20.63,95.6,90.4
29,41,38,40.52,10.75,92.9,46.6
38,50,116,44.9,28.45,93.8,41.2
49,50,96,43.3,14.43,94.9,69.2
91,34,45,48.91,13.02,99.1,168.5
93,48,108,46.91,10.45,99.3,153.6
23,47,92,48.73,21.61,92.3,18.4
33,45,109,49.1,21.87,93.3,33.3
20,36,54,40.17,12.3,92.0,23.8
72,44,111,45.85,10.9,97.2,110.7
82,43,77,49.39,25.52,98.2,140.9
34,47,48,44.34,7.64,93.4,53.6
64,35,61,43.04,20.88,96.4,109.7
92,27,33,44.59,24.55,99.2,174.1
67,50,81,49.69,18.33,96.7,109.7
98,30,64,40.97,23.82,99.8,176.8
87,42,29,46.91,13.3,98.7,165.3
40,30,82,48.81,11.3,94.0,55.4
62,28,66,46.58,8.19,96.2,104.2
27,38,118,48.39,17.59,92.7,18.6
40,49,28,44.01,14.34,94.0,71.6
64,36,74,45.33,27.08,96.4,105.8
71,42,20,48.59,28.89,97.1,136.0
58,46,30,42.06,14.85,95.8,107.0
62,38,67,42.39,11.65,96.2,103.9
40,45,86,40.19,28.31,94.0,54.2
71,25,118,40.04,6.64,97.1,106.6
78,32,72,41.13,23.85,97.8,134.4
29,43,120,43.29,27.3,92.9,22.0
92,39,68,49.7,14.23,99.2,163.6
23,43,118,44.27,7.79,92.3,10.6
58,39,75,48.44,22.33,95.8,93.5
58,48,25,44.1,19.99,95.8,108.5
35,35,38,40.65,17.41,93.5,58.6
74,40,37,42.19,17.27,97.4,136.9
65,43,111,48.9,25.32,96.5,96.7
95,30,88,49.89,15.18,99.5,163.6
95,30,23,40.83,22.96,99.5,183.1
33,35,98,41.72,20.72,93.3,36.6
34,30,41,40.8,18.71,93.4,55.7
97,27,75,46.51,12.54,99.7,171.5
48,31,53,47.48,21.34,94.8,80.1
44,50,45,48.89,17.26,94.4,74.5
43,41,46,41.85,5.13,94.3,72.2
50,36,35,47.62,8.87,95.0,89.5
79,35,117,45.41,25.13,97.9,122.9
57,29,83,47.28,25.7,95.7,89.1
42,50,24,49.65,17.22,94.2,76.8
93,48,118,48.9,8.23,99.3,150.6
64,36,38,47.5,13.93,96.4,116.6
39,46,95,48.29,7.29,93.9,49.5
23,41,35,48.63,25.54,92.3,35.5
48,45,25,46.62,9.05,94.8,88.5
80,41,21,40.26,7.11,98.0,153.7
42,42,38,42.77,20.24,94.2,72.6
